Стеллаж;Полка;Строка;Столбец;Цвет контейнера;Материал;Тип;Стандарт;Диаметр, мм;Длина, мм;Кол-во, шт;Магазин
1;;1;А;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;6;50;КрепКОМП
1;;1;Б;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;8;60;КрепКОМП
1;;1;В;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;10;100;КрепКОМП
1;;1;Г;Green;Нержавеющая сталь;Заклёпка;Резьбовая;3;9;100;КрепКОМП
1;;1;Д;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;8;200;КрепКОМП
1;;1;Е;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;10;250;КрепКОМП
1;;1;Ж;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;12;200;КрепКОМП
1;;1;З;Green;Нержавеющая сталь;Заклёпка;Резьбовая;4;10,5;150;КрепКОМП
1;;1;И;Green;Нержавеющая сталь;Заклёпка;Резьбовая потайная;4;12;250;КрепКОМП
1;;2;А;Red;Нержавеющая сталь;Гайка;din 934;4;;;
1;;2;Б;Red;Нержавеющая сталь;;din 985;4;;;
1;;2;В;Red;Нержавеющая сталь;;din 6923;4;;;
1;;2;Г;Red;Нержавеющая сталь;;din 316;4;;;
1;;2;Д;Red;Нержавеющая сталь;Шайба;din 125;4;;;
1;;2;Е;Red;Нержавеющая сталь;;din 127;4;;;
1;;2;Ж;Red;Нержавеющая сталь;;din 9021;4;;;
1;;2;З;Red;Нержавеющая сталь;;din 9055;4;;;
1;;2;И;Red;Нержавеющая сталь;Винт;din 7985;4;8;;
1;;3;А;Red;Нержавеющая сталь;Винт;din 7985;4;10;;
1;;3;Б;Red;Нержавеющая сталь;Винт;din 7985;4;12;;
1;;3;В;Red;Нержавеющая сталь;Винт;din 7985;4;16;;
1;;3;Г;Red;Нержавеющая сталь;Винт;din 7985;4;20;;
1;;3;Д;Red;Нержавеющая сталь;Винт;din 7985;4;25;;
1;;3;Е;Red;Нержавеющая сталь;Винт;din 316;4;25;;
1;;3;Ж;Red;Нержавеющая сталь;Винт;din 7985;4;30;;
1;;3;З;Red;Нержавеющая сталь;Винт;din 7985;4;35;;
1;;3;И;Red;Нержавеющая сталь;Винт;din 7985;4;40;;
1;;4;А;Red;Нержавеющая сталь;Винт;din 7985;4;45;;
1;;4;Б;Red;Нержавеющая сталь;Винт;din 7985;4;50;;
1;;4;В;Red;Нержавеющая сталь;Винт;din 7985;4;60;;
1;;4;Г;Red;Нержавеющая сталь;Винт;din 7985;4;70;;
1;;4;Д;Red;;;;;;;
1;;4;Е;Red;;;;;;;
1;;4;Ж;Red;;;;;;;
1;;4;З;Red;;;;;;;
1;;4;И;Red;;;;;;;
1;;5;А;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4,8;;;
1;;5;Б;Green;Нержавеющая сталь;Гайка;din 934;5;;;
1;;5;В;Green;Нержавеющая сталь;;din 985;5;;;
1;;5;Г;Green;Нержавеющая сталь;;din 6923;5;;;
1;;5;Д;Green;Нержавеющая сталь;;din 316;5;;;
1;;5;Е;Green;Нержавеющая сталь;Шайба;din 125;5;;;
1;;5;Ж;Green;Нержавеющая сталь;;din 127;5;;;
1;;5;З;Green;Нержавеющая сталь;;din 9021;5;;;
1;;5;И;Green;Нержавеющая сталь;;din 9055;5;;;
1;;6;А;Green;Нержавеющая сталь;Винт;din 7985;5;10;;
1;;6;Б;Green;Нержавеющая сталь;Винт;din 7985;5;16;;
1;;6;В;Green;Нержавеющая сталь;Винт;din 7985;5;20;;
1;;6;Г;Green;Нержавеющая сталь;Винт;din 7985;5;25;;
1;;6;Д;Green;Нержавеющая сталь;Винт;din 7985;5;30;;
1;;6;Е;Green;Нержавеющая сталь;Винт;din 7985;5;35;;
1;;6;Ж;Green;Нержавеющая сталь;Винт;din 7985;5;40;;
1;;6;З;Green;Нержавеющая сталь;Винт;din 316;5;45;;
1;;6;И;Green;Нержавеющая сталь;Винт;din 7985;5;45;;
1;;7;А;Green;Нержавеющая сталь;Винт;din 7985;5;50;;
1;;7;Б;Green;Нержавеющая сталь;Винт;din 7985;5;90;;
1;;7;В;Green;Нержавеющая сталь;Винт;din 7985;5;100;;
1;;7;Г;;;;;;;;
1;;7;Д;;;;;;;;
1;;7;Е;;;;;;;;
1;;7;Ж;;;;;;;;
1;;7;З;;;;;;;;
1;;7;И;;;;;;;;
1;;8;А;;;;;;;;
1;;8;Б;;;;;;;;
