Стеллаж;Полка;Строка;Столбец;Цвет_контейнера;Материал;Тип;Стандарт;Диаметр_мм;Длина_мм;Количество_шт;Магазин;Сайт
1;;1;A;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;6;50;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_3_2kh_6_1000sht.html
1;;1;B;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;8;60;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_3_2kh_8_1000sht.html
1;;1;C;Green;Нержавеющая сталь;Заклёпка;Вытяжная;3,2;10;100;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_3_2kh10_1000sht.html
1;;1;D;Green;Нержавеющая сталь;Заклёпка;Резьбовая;3;9;100;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/rezbovye/tsilindricheskiy-bortik-nerzhaveyka/zaklepki_rezbovye_tsilindr_bortik_nerzhaveyka/zaklepka_rezbovaya_m3_l9_0_tsilindricheskiy_bortik_nerzhaveyka_moskrep_100sht.html
1;;1;E;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;8;200;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_4kh_8_1000sht.html
1;;1;F;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;10;250;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_4kh10_1000sht.html
1;;1;G;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4;12;150;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/vytyazhnye/vytyazhnye-nerzhaveyushchie/zaklepka_vytyazhnaya_nerzhaveyushchaya_stal_nerzhaveyushchaya_stal_4kh12_500sht.html
1;;1;H;Green;Нержавеющая сталь;Заклёпка;Резьбовая;4;10,5;150;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/rezbovye/tsilindricheskiy-bortik-nerzhaveyka/zaklepki_rezbovye_tsilindr_bortik_nerzhaveyka/zaklepka_rezbovaya_m4_l10_5_tsilindricheskiy_bortik_nerzhaveyka_moskrep_100sht.html
1;;1;I;Green;Нержавеющая сталь;Заклёпка;Резьбовая потайная;4;12;250;КрепКОМП;https://krep-komp.ru/krepezh/zaklepki/rezbovye/tsilindricheskiy-bortik-nerzhaveyka/zaklepki_rezbovye_potay_bortik_nerzhaveyka/zaklepka_rezbovaya_m4_l12_0_potaynoy_bortik_nerzhaveyka_moskrep_100sht.html
1;;2;A;Red;Нержавеющая сталь;Гайка;din 934;4;;;;
1;;2;B;Red;Нержавеющая сталь;;din 985;4;;;;
1;;2;C;Red;Нержавеющая сталь;;din 6923;4;;;;
1;;2;D;Red;Нержавеющая сталь;;din 316;4;;;;
1;;2;E;Red;Нержавеющая сталь;Шайба;din 125;4;;;;
1;;2;F;Red;Нержавеющая сталь;;din 127;4;;;;
1;;2;G;Red;Нержавеющая сталь;;din 9021;4;;;;
1;;2;H;Red;Нержавеющая сталь;;din 9055;4;;;;
1;;2;I;Red;Нержавеющая сталь;Винт;din 7985;4;8;;;
1;;3;A;Red;Нержавеющая сталь;Винт;din 7985;4;10;;;
1;;3;B;Red;Нержавеющая сталь;Винт;din 7985;4;12;;;
1;;3;C;Red;Нержавеющая сталь;Винт;din 7985;4;16;;;
1;;3;D;Red;Нержавеющая сталь;Винт;din 7985;4;20;;;
1;;3;E;Red;Нержавеющая сталь;Винт;din 7985;4;25;;;
1;;3;F;Red;Нержавеющая сталь;Винт;din 316;4;25;;;
1;;3;G;Red;Нержавеющая сталь;Винт;din 7985;4;30;;;
1;;3;H;Red;Нержавеющая сталь;Винт;din 7985;4;35;;;
1;;3;I;Red;Нержавеющая сталь;Винт;din 7985;4;40;;;
1;;4;A;Red;Нержавеющая сталь;Винт;din 7985;4;45;;;
1;;4;B;Red;Нержавеющая сталь;Винт;din 7985;4;50;;;
1;;4;C;Red;Нержавеющая сталь;Винт;din 7985;4;60;;;
1;;4;D;Red;Нержавеющая сталь;Винт;din 7985;4;70;;;
1;;4;E;Red;;;;;;;;
1;;4;F;Red;;;;;;;;
1;;4;G;Red;;;;;;;;
1;;4;H;Red;;;;;;;;
1;;4;I;Red;;;;;;;;
1;;5;A;Green;Нержавеющая сталь;Заклёпка;Вытяжная;4,8;;;;
1;;5;B;Green;Нержавеющая сталь;Гайка;din 934;5;;;;
1;;5;C;Green;Нержавеющая сталь;;din 985;5;;;;
1;;5;D;Green;Нержавеющая сталь;;din 6923;5;;;;
1;;5;E;Green;Нержавеющая сталь;;din 316;5;;;;
1;;5;F;Green;Нержавеющая сталь;Шайба;din 125;5;;;;
1;;5;G;Green;Нержавеющая сталь;;din 127;5;;;;
1;;5;H;Green;Нержавеющая сталь;;din 9021;5;;;;
1;;5;I;Green;Нержавеющая сталь;;din 9055;5;;;;
1;;6;A;Green;Нержавеющая сталь;Винт;din 7985;5;10;;;
1;;6;B;Green;Нержавеющая сталь;Винт;din 7985;5;16;;;
1;;6;C;Green;Нержавеющая сталь;Винт;din 7985;5;20;;;
1;;6;D;Green;Нержавеющая сталь;Винт;din 7985;5;25;;;
1;;6;E;Green;Нержавеющая сталь;Винт;din 7985;5;30;;;
1;;6;F;Green;Нержавеющая сталь;Винт;din 7985;5;35;;;
1;;6;G;Green;Нержавеющая сталь;Винт;din 7985;5;40;;;
1;;6;H;Green;Нержавеющая сталь;Винт;din 316;5;45;;;
1;;6;I;Green;Нержавеющая сталь;Винт;din 7985;5;45;;;
1;;7;A;Green;Нержавеющая сталь;Винт;din 7985;5;50;;;
1;;7;B;Green;Нержавеющая сталь;Винт;din 7985;5;90;;;
1;;7;C;Green;Нержавеющая сталь;Винт;din 7985;5;100;;;
1;;7;D;;;;;;;;;
1;;7;E;;;;;;;;;
1;;7;F;;;;;;;;;
1;;7;G;;;;;;;;;
1;;7;H;;;;;;;;;
1;;7;I;;;;;;;;;
1;;8;A;;;;;;;;;
1;;8;B;;;;;;;;;
1;;8;C;;;;;;;;;
1;;8;D;;;;;;;;;
1;;8;E;;;;;;;;;
1;;8;F;;;;;;;;;
1;;8;G;;;;;;;;;
1;;8;H;;;;;;;;;
1;;8;I;;;;;;;;;
1;;9;A;;;;;;;;;
1;;9;B;;;;;;;;;
1;;9;C;;;;;;;;;
1;;9;D;;;;;;;;;
1;;9;E;;;;;;;;;
1;;9;F;;;;;;;;;
1;;9;G;;;;;;;;;
1;;9;H;;;;;;;;;
1;;9;I;;;;;;;;;
1;;10;A;;;;;;;;;
1;;10;B;;;;;;;;;
1;;10;C;;;;;;;;;
1;;10;D;;;;;;;;;
1;;10;E;;;;;;;;;
1;;10;F;;;;;;;;;
1;;10;G;;;;;;;;;
1;;10;H;;;;;;;;;
1;;10;I;;;;;;;;;
2;1;1;A;;Сталь хим. оксид.;Винт;din 912;2;4;100;Самсон;
2;1;1;B;;Сталь хим. оксид.;Винт;din 912;2;5;100;Самсон;
2;1;1;C;;Сталь хим. оксид.;Винт;din 912;2;6;100;Самсон;
2;1;1;D;;Сталь хим. оксид.;Винт;din 912;2;8;90;Самсон;
2;1;1;E;;Сталь хим. оксид.;Винт;din 912;2;10;50;Самсон;
2;1;2;A;;Сталь хим. оксид.;Винт;din 912;2;12;50;Самсон;
2;1;2;B;;Сталь хим. оксид.;Винт;din 912;2;16;50;Самсон;
2;1;2;C;;Сталь хим. оксид.;Винт;din 912;2;20;30;Самсон;
2;1;2;D;;Сталь хим. оксид.;Гайка;din 934;2;;150;Самсон;
2;1;2;E;;Пластик;Шайба;din 125;2;;100;Самсон;
2;2;1;A;;Сталь хим. оксид.;Винт;din 912;2,5;3;100;Самсон;
2;2;1;B;;Сталь хим. оксид.;Винт;din 912;2,5;4;100;Самсон;
2;2;1;C;;Сталь хим. оксид.;Винт;din 912;2,5;6;100;Самсон;
2;2;1;D;;Сталь хим. оксид.;Винт;din 912;2,5;8;50;Самсон;
2;2;1;E;;Сталь хим. оксид.;Винт;din 912;2,5;10;50;Самсон;
2;2;2;A;;Сталь хим. оксид.;Винт;din 912;2,5;12;50;Самсон;
2;2;2;B;;Сталь хим. оксид.;Винт;din 912;2,5;16;50;Самсон;
2;2;2;C;;Сталь хим. оксид.;Винт;din 912;2,5;20;30;Самсон;
2;2;2;D;;Сталь хим. оксид.;Гайка;din 934;2,5;;150;Самсон;
2;2;2;E;;Нержавеющая сталь;Гайка;din 985;2,5;;100;Самсон;
2;3;1;A;;Сталь хим. оксид.;Винт;din 912;2,5;4;100;Самсон;
2;3;1;B;;Сталь хим. оксид.;Винт;din 912;2,5;5;100;Самсон;
2;3;1;C;;Сталь хим. оксид.;Винт;din 912;2,5;6;100;Самсон;
2;3;1;D;;Сталь хим. оксид.;Винт;din 912;2,5;8;50;Самсон;
2;3;1;E;;Сталь хим. оксид.;Винт;din 912;2,5;10;50;Самсон;
2;3;2;A;;Сталь хим. оксид.;Винт;din 912;2,5;12;50;Самсон;
2;3;2;B;;Сталь хим. оксид.;Винт;din 912;2,5;16;50;Самсон;
2;3;2;C;;Сталь хим. оксид.;Винт;din 912;2,5;20;30;Самсон;
2;3;2;D;;Сталь хим. оксид.;Гайка;din 934;2,5;;150;Самсон;
2;3;2;E;;Пластик;Шайба;din 125;2,5;;100;Самсон;
2;4;1;A;;Сталь хим. оксид.;Винт;din 912;3;4;100;Самсон;
2;4;1;B;;Сталь хим. оксид.;Винт;din 912;3;6;100;Самсон;
2;4;1;C;;Сталь хим. оксид.;Винт;din 912;3;8;100;Самсон;
2;4;1;D;;Сталь хим. оксид.;Винт;din 912;3;10;50;Самсон;
2;4;1;E;;Сталь хим. оксид.;Винт;din 912;3;12;50;Самсон;
2;4;2;A;;Сталь хим. оксид.;Винт;din 912;3;16;50;Самсон;
2;4;2;B;;Сталь хим. оксид.;Винт;din 912;3;20;50;Самсон;
2;4;2;C;;Сталь хим. оксид.;Винт;din 912;3;25;30;Самсон;
2;4;2;D;;Сталь хим. оксид.;Гайка;din 934;3;;100;Самсон;
2;4;2;E;;Нержавеющая сталь;Гайка;din 985;3;;80;Самсон;
2;5;1;A;;Сталь хим. оксид.;Винт;din 912;3;4;100;Самсон;
2;5;1;B;;Сталь хим. оксид.;Винт;din 912;3;6;100;Самсон;
2;5;1;C;;Сталь хим. оксид.;Винт;din 912;3;8;50;Самсон;
2;5;1;D;;Сталь хим. оксид.;Винт;din 912;3;10;50;Самсон;
2;5;1;E;;Сталь хим. оксид.;Винт;din 912;3;12;50;Самсон;
2;5;2;A;;Сталь хим. оксид.;Винт;din 912;3;16;50;Самсон;
2;5;2;B;;Сталь хим. оксид.;Винт;din 912;3;20;50;Самсон;
2;5;2;C;;Сталь хим. оксид.;Винт;din 912;3;25;30;Самсон;
2;5;2;D;;Сталь хим. оксид.;Гайка;din 934;3;;100;Самсон;
2;5;2;E;;Пластик;Шайба;din 125;3;;80;Самсон;
2;6;1;A;;Сталь хим. оксид.;Винт;din 7380;2,5;4;100;Самсон;
2;6;1;B;;Сталь хим. оксид.;Винт;din 7380;2,5;6;100;Самсон;
2;6;1;C;;Сталь хим. оксид.;Винт;din 7380;2,5;8;100;Самсон;
2;6;1;D;;;;;;;;;
2;6;1;E;;Сталь хим. оксид.;Винт;din 7380;3;4;100;Самсон;
2;6;2;A;;Сталь хим. оксид.;Винт;din 7380;3;6;100;Самсон;
2;6;2;B;;Сталь хим. оксид.;Винт;din 7380;3;8;100;Самсон;
2;6;2;C;;Сталь хим. оксид.;Винт;din 7380;3;10;50;Самсон;
2;6;2;D;;Сталь хим. оксид.;Винт;din 7380;3;12;50;Самсон;
2;6;2;E;;Сталь хим. оксид.;Винт;din 7380;3;16;50;Самсон;
2;7;1;A;;Сталь хим. оксид.;Винт;din 7991;2;4;;Самсон;
2;7;1;B;;Сталь хим. оксид.;Винт;din 7991;2;6;;Самсон;
2;7;1;C;;Сталь хим. оксид.;Винт;din 7991;2;8;;Самсон;
2;7;1;D;;Сталь хим. оксид.;Винт;din 7991;2,5;4;;Самсон;
2;7;1;E;;Сталь хим. оксид.;Винт;din 7991;2,5;6;;Самсон;
2;7;2;A;;Сталь хим. оксид.;Винт;din 7991;2,5;8;;Самсон;
2;7;2;B;;;;;;;;;
2;7;2;C;;Сталь хим. оксид.;Винт;din 7991;3;4;;Самсон;
2;7;2;D;;Сталь хим. оксид.;Винт;din 7991;3;5;;Самсон;
2;7;2;E;;Сталь хим. оксид.;Винт;din 7991;3;6;;Самсон;
3;1;1;A;;1 1;1;;;;;;
3;1;1;B;;1 2;1;;;;;;
3;1;1;C;;1 3;1;;;;;;
3;1;1;D;;1 4;1;;;;;;
3;1;2;A;;2 1;1;;;;;;
3;1;2;B;;2 2;1;;;;;;
3;1;2;C;;2 3;1;;;;;;
3;1;2;D;;2 4;1;;;;;;
3;1;3;A;;3 1;1;;;;;;
3;1;3;B;;3 2;1;;;;;;
3;1;3;C;;3 3;1;;;;;;
3;1;3;D;;3 4;1;;;;;;
3;1;4;A;;4 1;1;;;;;;
3;1;4;B;;4 2;1;;;;;;
3;1;4;C;;4 3;1;;;;;;
3;1;4;D;;4 4;1;;;;;;
3;1;5;A;;5 1;1;;;;;;
3;1;5;B;;5 2;1;;;;;;
3;1;5;C;;5 3;1;;;;;;
3;1;5;D;;5 4;1;;;;;;
3;2;1;A;;1 1;2;;;;;;
3;2;1;B;;1 2;2;;;;;;
3;2;1;C;;1 3;2;;;;;;
3;2;1;D;;1 4;2;;;;;;
3;2;2;A;;2 1;2;;;;;;
3;2;2;B;;2 2;2;;;;;;
3;2;2;C;;2 3;2;;;;;;
3;2;2;D;;2 4;2;;;;;;
3;2;3;A;;3 1;2;;;;;;
3;2;3;B;;3 2;2;;;;;;
3;2;3;C;;3 3;2;;;;;;
3;2;3;D;;3 4;2;;;;;;
3;2;4;A;;4 1;2;;;;;;
3;2;4;B;;4 2;2;;;;;;
3;2;4;C;;4 3;2;;;;;;
3;2;4;D;;4 4;2;;;;;;
3;2;5;A;;5 1;2;;;;;;
3;2;5;B;;5 2;2;;;;;;
3;2;5;C;;5 3;2;;;;;;
3;2;5;D;;5 4;2;;;;;;
3;3;1;;;1;;;;;;;
3;3;2;;;2;;;;;;;
3;3;3;;;3;;;;;;;
3;3;4;;;4;;;;;;;
3;3;5;;;5;;;;;;;
3;3;6;;;6;;;;;;;
3;3;7;;;7;;;;;;;
3;3;8;;;8;;;;;;;
3;3;9;;;9;;;;;;;
3;3;10;;;10;;;;;;;
3;3;11;;;11;;;;;;;
3;3;12;;;12;;;;;;;
3;3;13;;;13;;;;;;;
3;3;14;;;14;;;;;;;
3;3;15;;;15;;;;;;;
3;3;16;;;16;;;;;;;
3;3;17;;;17;;;;;;;
